"date","retweets","isretweeted","length","favorites","ishealth","ispandemic","isvirus","isemergency","isdeaths","iswho","iscdc","isnih","isdisease","isquarantine","isrecover","isban","iscoronavirus","iscovid19","iswash","isracist","isasian","ischinese","isinfectious","ch.confirmed","it.confirmed","ot.confirmed","us.confirmed","ch.deaths","it.deaths","ot.deaths","us.deaths","fear","sadness","trust","disgust","negative","anticipation","joy","positive","anger","surprise"
2020-03-01,77,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,1,0,0,0,0,0,0,0
2020-03-01,2225,TRUE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,2,0,1,1,0,0,0,0,0
2020-03-01,1053,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,1,1,0,0,0,0,0
2020-03-01,5,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,1,1,1,1,0,0
2020-03-01,144,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,2,1,0,1,0,0,0,0,0
2020-03-01,276,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,77,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,11,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,2,0,0,0,0,0
2020-03-01,123,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,38,TRUE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,79932,1694,6669,74,2872,34,89,1,0,1,1,0,1,0,1,2,0,0
2020-03-01,51,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,2,0,0
2020-03-01,61,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,0,FALSE,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,0,0,0
2020-03-01,78,TRUE,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,1,0,1,0,1,1,0,0
2020-03-01,8273,TRUE,144,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,0,0,0
2020-03-01,23,TRUE,144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,79932,1694,6669,74,2872,34,89,1,2,1,1,1,2,0,0,1,1,1
2020-03-01,411,TRUE,139,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,0,0,1,1,0
2020-03-01,287,TRUE,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,1,0,0
2020-03-01,0,FALSE,140,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,1,0,1,0,0,1,0,0
2020-03-01,36,TRUE,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,2,0,0,0,0,1,0,0
2020-03-01,132,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,1,0,0
